"","nEcor","Area","HB","sp","BodyMass","Source_BodyMass","TrophicGuild","Source_TrophicGuild","RedListClass","RiskClass"
"Ametrida centurio",68,559.737635418899,4.46185601925502,"Ametrida centurio",10.15,"Arevalos2020","Fru","Rojas2012","LC","WR"
"Anoura aequatoris",27,55.0990707646853,1.35142611643938,"Anoura aequatoris",8.89,"Pacheco2018","Omn","Rojas2012","LC","WR"
"Anoura cadenai",6,1.30495052617646,1.01043374494024,"Anoura cadenai",NA,NA,"Omn","Rojas2012","DD","WCS"
"Anoura carishina",14,3.83647335678623,1.03045372252167,"Anoura carishina",NA,NA,"Omn","Rojas2012","ND","WCS"
"Anoura caudifer",71,491.56214498597,4.0464826522985,"Anoura caudifer",10.55,"Arevalos2020","Omn","Rojas2012","LC","WR"
"Anoura cultrata",44,60.0145068751899,1.39112967755667,"Anoura cultrata",16.85,"EltonTraits_Wilman2014","Omn","Rojas2012","LC","WR"
"Anoura fistulata",20,16.6191802714938,1.11205351894831,"Anoura fistulata",12.8,"Pacheco2018","Omn","Rojas2012","DD","WCS"
"Anoura geoffroyi",122,666.879764194597,5.14791115083363,"Anoura geoffroyi",15,"Arevalos2020","Omn","Rojas2012","LC","WR"
"Anoura latidens",41,57.5656685008436,1.37444867568612,"Anoura latidens",14.65,"EltonTraits_Wilman2014","Omn","Rojas2012","LC","WR"
"Anoura luismanueli",11,6.81024118569439,1.04694628477713,"Anoura luismanueli",14.05,"EltonTraits_Wilman2014","Omn","Rojas2012","LC","WR"
"Anoura peruana",7,3.48729243434293,1.02435116008431,"Anoura peruana",NA,NA,"Omn","Rojas2012","LC","WR"
"Artibeus amplus",21,48.6268518320844,1.3084316271094,"Artibeus amplus",60.35,"Arevalos2020","Fru","Rojas2012","LC","WR"
"Artibeus concolor",31,262.297791947738,2.62126025443998,"Artibeus concolor",19.24,"Arevalos2020","Fru","Rojas2012","LC","WR"
"Artibeus fimbriatus",13,87.9642919231645,1.54455098074822,"Artibeus fimbriatus",60.93,"Arevalos2020","Fru","Rojas2012","LC","WR"
"Artibeus fraterculus",13,12.6696549036949,1.08392533767437,"Artibeus fraterculus",25.54,"Arevalos2020","Fru","Rojas2012","LC","WR"
"Artibeus hirsutus",13,34.4861712960062,1.21739097733528,"Artibeus hirsutus",39.36,"Arevalos2020","Fru","Rojas2012","LC","WR"
"Artibeus inopinatus",6,3.55226551573,1.02418201378421,"Artibeus inopinatus",29.3,"Arevalos2020","Fru","Rojas2012","DD","WCS"
"Artibeus jamaicensis",57,113.396849678911,1.72506991519811,"Artibeus jamaicensis",42.56,"Arevalos2020","Fru","Rojas2012","LC","WR"
