"","sp","ecoregion"
"1","Ametrida centurio","Cerrado"
"2","Ametrida centurio","Purus varzeá"
"3","Ametrida centurio","Madeira-Tapajós moist forests"
"4","Ametrida centurio","Tapajós-Xingu moist forests"
"5","Ametrida centurio","Purus-Madeira moist forests"
"6","Ametrida centurio","Mato Grosso seasonal forests"
"7","Ametrida centurio","Chiquitano dry forests"
"8","Ametrida centurio","Pantanal"
"9","Ametrida centurio","Guianan Highlands moist forests"
"10","Ametrida centurio","Rio Negro campinarana"
"11","Ametrida centurio","Pantepui"
"12","Ametrida centurio","Apure-Villavicencio dry forests"
"13","Ametrida centurio","Amazon-Orinoco-Southern Caribbean mangroves"
"14","Ametrida centurio","Guianan savanna"
"15","Ametrida centurio","Uatuma-Trombetas moist forests"
"16","Ametrida centurio","Guianan piedmont and lowland moist forests"
"17","Ametrida centurio","Caqueta moist forests"
"18","Ametrida centurio","Guianan moist forests"
"19","Ametrida centurio","Marajó varzeá"
"20","Ametrida centurio","Magdalena Valley montane forests"
"21","Ametrida centurio","Llanos"
"22","Ametrida centurio","Gurupa varzeá"
"23","Ametrida centurio","Northeastern Brazil restingas"
"24","Ametrida centurio","Monte Alegre varzeá"
"25","Ametrida centurio","Caatinga Enclaves moist forests"
"26","Ametrida centurio","Juruá-Purus moist forests"
"27","Ametrida centurio","Cordillera Oriental montane forests"
"28","Ametrida centurio","Xingu-Tocantins-Araguaia moist forests"
"29","Ametrida centurio","Northern Andean páramo"
"30","Ametrida centurio","Negro-Branco moist forests"
"31","Ametrida centurio","Tocantins/Pindare moist forests"
"32","Ametrida centurio","Maranhão Babaçu forests"
"33","Ametrida centurio","Southern Atlantic mangroves"
"34","Ametrida centurio","Caatinga"
"35","Ametrida centurio","Atlantic Coast restingas"
"36","Ametrida centurio","Pernambuco interior forests"
"37","Ametrida centurio","Pernambuco coastal forests"
"38","Ametrida centurio","Atlantic dry forests"
"39","Ametrida centurio","Japurá-Solimoes-Negro moist forests"
"40","Ametrida centurio","Solimões-Japurá moist forests"
"41","Ametrida centurio","Guajira-Barranquilla xeric scrub"
"42","Ametrida centurio","Sinú Valley dry forests"
"43","Ametrida centurio","Santa Marta montane forests"
"44","Ametrida centurio","Cordillera de Merida páramo"
"45","Ametrida centurio","Mesoamerican Gulf-Caribbean mangroves"
"46","Ametrida centurio","Isthmian-Atlantic moist forests"
"47","Ametrida centurio","Cauca Valley montane forests"
"48","Ametrida centurio","Cordillera La Costa montane forests"
"49","Ametrida centurio","Catatumbo moist forests"
"50","Ametrida centurio","Venezuelan Andes montane forests"
"51","Ametrida centurio","Eastern Panamanian montane forests"
"52","Ametrida centurio","Panamanian dry forests"
"53","Ametrida centurio","South American Pacific mangroves"
"54","Ametrida centurio","Paraguana xeric scrub"
"55","Ametrida centurio","Lara-Falcón dry forests"
"56","Ametrida centurio","Maracaibo dry forests"
"57","Ametrida centurio","Central American dry forests"
"58","Ametrida centurio","Santa Marta páramo"
"59","Ametrida centurio","La Costa xeric shrublands"
"60","Ametrida centurio","Magdalena-Urabá moist forests"
"61","Ametrida centurio","Chocó-Darién moist forests"
"62","Ametrida centurio","Northwestern Andean montane forests"
"63","Ametrida centurio","Cauca Valley dry forests"
"64","Ametrida centurio","Magdalena Valley dry forests"
